"prod_id","prod_title","prod_description","prod_img","prod_price","prod_category","prod_quantity","prod_temp_qty","prod_approved","seller_id","created_at"
"5","1972 Alfa Romeo GTA","Features include: Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis.","5.jpg","85.68","food","1215","0","0","101","0000-00-00 00:00:00"
"6","1962 LanciaA Delta 16V","Features include: Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis.","6.jpg","103.42","food","100","0","0","101","0000-00-00 00:00:00"
"7","1968 Ford Mustang","Hood, doors and trunk all open to reveal highly detailed interior features. Steering wheel actually turns the front wheels. Color dark green.","7.jpg","95.34","kids","0",NULL,,"101","0000-00-00 00:00:00"
"8","2001 Ferrari Enzo","Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis.","9.jpg","95.59","food","0",NULL,"1","101","0000-00-00 00:00:00"
"9","1958 Setra Bus","Model features 30 windows, skylights & glare resistant glass, working steering system, original logos","8.jpg","77.9","electronics","0",NULL,,"101","0000-00-00 00:00:00"
"10","2002 Suzuki XREO","Official logos and insignias, saddle bags located on side of motorcycle, detailed engine, working steering, working suspension, two leather seats, luggage rack, dual exhaust pipes, small saddle bag located on handle bars, two-tone paint with chrome accents, superior die-cast detail , rotating wheels , working kick stand, diecast metal with plastic parts and baked enamel finish.","10.jpg","66.27","clothes","0",NULL,,"101","0000-00-00 00:00:00"
"11","1969 Corvair Monza","1:18 scale die-cast about 10"" long doors open, hood opens, trunk opens and wheels roll","1.jpg","89.14","clothes","0",NULL,,"101","0000-00-00 00:00:00"
"12","1968 Dodge Charger","1:12 scale model of a 1968 Dodge Charger. Hood, doors and trunk all open to reveal highly detailed interior features. Steering wheel actually turns the front wheels. Color black","2.jpg","75.16","clothes","0",NULL,,"101","0000-00-00 00:00:00"
"13","1969 Ford Falcon","Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis.","3.jpg","83.05","food","0",NULL,,"101","0000-00-00 00:00:00"
"14","1970 Plymouth Hemi Cuda","Very detailed 1970 Plymouth Cuda model in 1:12 scale. The Cuda is generally accepted as one of the fastest original muscle cars from the 1970s. This model is a reproduction of one of the orginal 652 cars built in 1970. Red color.","4.jpg","31.92","electronics","0",NULL,,"101","0000-00-00 00:00:00"
"15","1957 Chevy Pickup","1:12 scale die-cast about 20"" long Hood opens, Rubber wheels","5.jpg","55.7","clothes","0",NULL,,"101","0000-00-00 00:00:00"
"16","1969 Dodge Charger","Detailed model of the 1969 Dodge Charger. This model includes finely detailed interior and exterior features. Painted in red and white.","6.jpg","58.73","books","0",NULL,,"101","0000-00-00 00:00:00"
"17","1940 Ford Pickup Truck","This model features soft rubber tires, working steering, rubber mud guards, authentic Ford logos, detailed undercarriage, opening doors and hood,  removable split rear gate, full size spare mounted in bed, detailed interior with opening glove box","7.jpg","58.33","kids","0",NULL,"1","102","0000-00-00 00:00:00"
"18","1993 Mazda RX-7","This model features, opening hood, opening doors, detailed engine, rear spoiler, opening trunk, working steering, tinted windows, baked enamel finish. Color red.","9.jpg","83.51","food","0",NULL,,"102","0000-00-00 00:00:00"
"19","1937 Lincoln Berline","Features opening engine cover, doors, trunk, and fuel filler cap. Color black","8.jpg","60.62","food","0",NULL,"1","102","0000-00-00 00:00:00"
"20","1936 Mercedes-Benz 500K Special Roadster","This 1:18 scale replica is constructed of heavy die-cast metal and has all the features of the original: working doors and rumble seat, independent spring suspension, detailed interior, working steering system, and a bifold hood that reveals an engine so accurate that it even includes the wiring. All this is topped off with a baked enamel finish. Color white.","10.jpg","24.26","kids","0",NULL,,"102","0000-00-00 00:00:00"
"21","1965 Aston Martin DB5","Die-cast model of the silver 1965 Aston Martin DB5 in silver. This model includes full wire wheels and doors that open with fully detailed passenger compartment. In 1:18 scale, this model measures approximately 10 inches/20 cm long.","1.jpg","65.96","food","0",NULL,,"102","0000-00-00 00:00:00"
"22","1980s Black Hawk Helicopter","1:18 scale replica of actual Army's UH-60L BLACK HAWK Helicopter. 100% hand-assembled. Features rotating rotor blades, propeller blades and rubber wheels.","2.jpg","77.27","electronics","0",NULL,,"102","0000-00-00 00:00:00"
"23","1917 Grand Touring Sedan","This 1:18 scale replica of the 1917 Grand Touring car has all the features you would expect from museum quality reproductions: all four doors and bi-fold hood opening, detailed engine and instrument panel, chrome-look trim, and tufted upholstery, all topped off with a factory baked-enamel finish.","3.jpg","86.7","clothes","0",NULL,,"102","0000-00-00 00:00:00"
"24","1948 Porsche 356-A Roadster","This precision die-cast replica features opening doors, superb detail and craftsmanship, working steering system, opening forward compartment, opening rear trunk with removable spare, 4 wheel independent spring suspension as well as factory baked enamel finish.","4.jpg","53.9","clothes","0",NULL,,"103","0000-00-00 00:00:00"
"25","1995 Honda Civic","This model features, opening hood, opening doors, detailed engine, rear spoiler, opening trunk, working steering, tinted windows, baked enamel finish. Color yellow.","5.jpg","93.89","clothes","0",NULL,,"103","0000-00-00 00:00:00"
"26","1998 Chrysler Plymouth Prowler","Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis.","6.jpg","101.51","food","0",NULL,,"103","0000-00-00 00:00:00"
"27","1911 Ford Town Car","Features opening hood, opening doors, opening trunk, wide white wall tires, front door arm rests, working steering system.","7.jpg","33.3","electronics","0",NULL,,"103","0000-00-00 00:00:00"
"28","1964 Mercedes Tour Bus","Exact replica. 100+ parts. working steering system, original logos","9.jpg","74.86","clothes","0",NULL,,"103","0000-00-00 00:00:00"
"29","1932 Model A Ford J-Coupe","This model features grille-mounted chrome horn, lift-up louvered hood, fold-down rumble seat, working steering system, chrome-covered spare, opening doors, detailed and wired engine","8.jpg","58.48","books","0",NULL,,"103","0000-00-00 00:00:00"
"31","P-51-D Mustang","Has retractable wheels and comes with a stand","1.jpg","49","food","0",NULL,,"104","0000-00-00 00:00:00"
"32","1936 Harley Davidson El Knucklehead","Intricately detailed with chrome accents and trim, official die-struck logos and baked enamel finish.","2.jpg","24.23","food","0",NULL,,"104","0000-00-00 00:00:00"
"33","1928 Mercedes-Benz SSK","This 1:18 replica features grille-mounted chrome horn, lift-up louvered hood, fold-down rumble seat, working steering system, chrome-covered spare, opening doors, detailed and wired engine. Color black.","3.jpg","72.56","kids","0",NULL,,"104","0000-00-00 00:00:00"
"34","1999 Indy 500 Monte Carlo SS","Features include opening and closing doors. Color: Red","4.jpg","56.76","food","0",NULL,,"104","0000-00-00 00:00:00"
"35","1913 Ford Model T Speedster","This 250 part reproduction includes moving handbrakes, clutch, throttle and foot pedals, squeezable horn, detailed wired engine, removable water, gas, and oil cans, pivoting monocle windshield, all topped with a baked enamel red finish. Each replica comes with an Owners Title and Certificate of Authenticity. Color red.","5.jpg","60.78","electronics","0",NULL,,"104","0000-00-00 00:00:00"
"36","1934 Ford V8 Coupe","Chrome Trim, Chrome Grille, Opening Hood, Opening Doors, Opening Trunk, Detailed Engine, Working Steering System","6.jpg","34.35","clothes","0",NULL,,"104","0000-00-00 00:00:00"
"37","1999 Yamaha Speed Boat","Exact replica. Wood and Metal. Many extras including rigging, long boats, pilot house, anchors, etc. Comes with three masts, all square-rigged.","7.jpg","51.61","clothes","0",NULL,,"104","0000-00-00 00:00:00"
"38","18th Century Vintage Horse Carriage","Hand crafted diecast-like metal horse carriage is re-created in about 1:18 scale of antique horse carriage. This antique style metal Stagecoach is all hand-assembled with many different parts.

This collectible metal horse carriage is painted in classic Red, and features turning steering wheel and is entirely hand-finished.","9.jpg","60.74","clothes","0",NULL,,"104","0000-00-00 00:00:00"
"39","1903 Ford Model A","Features opening trunk,  working steering system","8.jpg","68.3","food","0",NULL,,"104","0000-00-00 00:00:00"
"40","1992 Ferrari 360 Spider red","his replica features opening doors, superb detail and craftsmanship, working steering system, opening forward compartment, opening rear trunk with removable spare, 4 wheel independent spring suspension as well as factory baked enamel finish.","10.jpg","77.9","electronics","0",NULL,,"104","0000-00-00 00:00:00"
"41","1985 Toyota Supra","This model features soft rubber tires, working steering, rubber mud guards, authentic Ford logos, detailed undercarriage, opening doors and hood, removable split rear gate, full size spare mounted in bed, detailed interior with opening glove box","1.jpg","57.01","clothes","0",NULL,,"104","0000-00-00 00:00:00"
"42","Collectable Wooden Train","Hand crafted wooden toy train set is in about 1:18 scale, 25 inches in total length including 2 additional carts, of actual vintage train. This antique style wooden toy train model set is all hand-assembled with 100% wood.","2.jpg","67.56","books","0",NULL,,"104","0000-00-00 00:00:00"
"43","1969 Dodge Super Bee","This replica features opening doors, superb detail and craftsmanship, working steering system, opening forward compartment, opening rear trunk with removable spare, 4 wheel independent spring suspension as well as factory baked enamel finish.","3.jpg","49.05","kids","0",NULL,,"104","0000-00-00 00:00:00"
"44","1917 Maxwell Touring Car","Features Gold Trim, Full Size Spare Tire, Chrome Trim, Chrome Grille, Opening Hood, Opening Doors, Opening Trunk, Detailed Engine, Working Steering System","4.jpg","57.54","food","0",NULL,,"104","0000-00-00 00:00:00"
"45","1976 Ford Gran Torino","Highly detailed 1976 Ford Gran Torino ""Starsky and Hutch"" diecast model. Very well constructed and painted in red and white patterns.","5.jpg","73.49","food","0",NULL,,"104","0000-00-00 00:00:00"
"46","1948 Porsche Type 356 Roadster","This model features working front and rear suspension on accurately replicated and actuating shock absorbers as well as opening engine cover, rear stabilizer flap,  and 4 opening doors.","6.jpg","62.16","kids","0",NULL,,"104","0000-00-00 00:00:00"
"47","1957 Vespa GS150","Features rotating wheels , working kick stand. Comes with stand.","7.jpg","32.95","food","0",NULL,,"104","0000-00-00 00:00:00"
"48","1941 Chevrolet Special Deluxe Cabriolet","Features opening hood, opening doors, opening trunk, wide white wall tires, front door arm rests, working steering system, leather upholstery. Color black.","9.jpg","64.58","electronics","0",NULL,,"104","0000-00-00 00:00:00"
"49","1970 Triumph Spitfire","Features include opening and closing doors. Color: White.","8.jpg","91.92","clothes","0",NULL,,"104","0000-00-00 00:00:00"
"50","1932 Alfa Romeo 8C2300 Spider Sport","This 1:18 scale precision die cast replica features the 6 front headlights of the original, plus a detailed version of the 142 horsepower straight 8 engine, dual spares and their famous comprehensive dashboard. Color black.","10.jpg","43.26","clothes","0",NULL,,"104","0000-00-00 00:00:00"
"51","1904 Buick Runabout","Features opening trunk,  working steering system","1.jpg","52.66","clothes","0",NULL,,"105","0000-00-00 00:00:00"
"52","1940s Ford truck","This 1940s Ford Pick-Up truck is re-created in 1:18 scale of original 1940s Ford truck. This antique style metal 1940s Ford Flatbed truck is all hand-assembled. This collectible 1940's Pick-Up truck is painted in classic dark green color, and features rotating wheels.","2.jpg","84.76","food","0",NULL,,"105","0000-00-00 00:00:00"
"53","1939 Cadillac Limousine","Features completely detailed interior including Velvet flocked drapes,deluxe wood grain floor, and a wood grain casket with seperate chrome handles","3.jpg","23.14","electronics","0",NULL,,"105","0000-00-00 00:00:00"
"54","1957 Corvette Convertible","1957 die cast Corvette Convertible in Roman Red with white sides and whitewall tires. 1:18 scale quality die-cast with detailed engine and underbvody. Now you can own The Classic Corvette.","4.jpg","69.93","clothes","0",NULL,,"105","0000-00-00 00:00:00"
"55","1957 Ford Thunderbird","This 1:18 scale precision die-cast replica, with its optional porthole hardtop and factory baked-enamel Thunderbird Bronze finish, is a 100% accurate rendition of this American classic.","5.jpg","34.21","books","0",NULL,,"105","0000-00-00 00:00:00"
"56","1970 Chevy Chevelle SS 454","This model features rotating wheels, working streering system and opening doors. All parts are particularly delicate due to their precise scale and require special care and attention. It should not be picked up by the doors, roof, hood or trunk.","6.jpg","49.24","kids","0",NULL,,"105","0000-00-00 00:00:00"
"57","1970 Dodge Coronet","1:24 scale die-cast about 18"" long doors open, hood opens and rubber wheels","7.jpg","32.37","food","0",NULL,,"105","0000-00-00 00:00:00"
"58","1997 BMW R 1100 S","Detailed scale replica with working suspension and constructed from over 70 parts","9.jpg","60.86","food","0",NULL,,"105","0000-00-00 00:00:00"
"59","1966 Shelby Cobra 427 S/C","This diecast model of the 1966 Shelby Cobra 427 S/C includes many authentic details and operating parts. The 1:24 scale model of this iconic lighweight sports car from the 1960s comes in silver and it's own display case.","8.jpg","29.18","kids","0",NULL,,"105","0000-00-00 00:00:00"
"60","1928 British Royal Navy Airplane","Official logos and insignias","10.jpg","66.74","food","0",NULL,,"105","0000-00-00 00:00:00"
"61","1939 Chevrolet Deluxe Coupe","This 1:24 scale die-cast replica of the 1939 Chevrolet Deluxe Coupe has the same classy look as the original. Features opening trunk, hood and doors and a showroom quality baked enamel finish.","1.jpg","22.57","electronics","0",NULL,,"105","0000-00-00 00:00:00"
