id,title,description,img,price,category,quantity,temp_qty,approved,seller_id,created_at,updated_at
1,1972 Alfa Romeo GTA,Features include: Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis.,5.jpg,85.68,food,30,,,101,,
2,1962 LanciaA Delta 16V,Features include: Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis.,6.jpg,103.42,food,40,,,101,,
3,1968 Ford Mustang,"Hood, doors and trunk all open to reveal highly detailed interior features. Steering wheel actually turns the front wheels. Color dark green.",7.jpg,95.34,kids,50,,,101,,
4,2001 Ferrari Enzo,Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis.,9.jpg,95.59,food,60,,,101,,
5,1958 Setra Bus,"Model features 30 windows, skylights & glare resistant glass, working steering system, original logos",8.jpg,77.9,electronics,70,,,101,,
6,2002 Suzuki XREO,"Official logos and insignias, saddle bags located on side of motorcycle, detailed engine, working steering, working suspension, two leather seats, luggage rack, dual exhaust pipes, small saddle bag located on handle bars, two-tone paint with chrome accents, superior die-cast detail , rotating wheels , working kick stand, diecast metal with plastic parts and baked enamel finish.",10.jpg,66.27,clothes,80,,,101,,
7,1969 Corvair Monza,"1:18 scale die-cast about 10"" long doors open, hood opens, trunk opens and wheels roll",1.jpg,89.14,clothes,90,,,101,,
8,1968 Dodge Charger,"1:12 scale model of a 1968 Dodge Charger. Hood, doors and trunk all open to reveal highly detailed interior features. Steering wheel actually turns the front wheels. Color black",2.jpg,75.16,clothes,100,,,101,,
9,1969 Ford Falcon,Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis.,3.jpg,83.05,food,110,,,101,,
10,1970 Plymouth Hemi Cuda,Very detailed 1970 Plymouth Cuda model in 1:12 scale. The Cuda is generally accepted as one of the fastest original muscle cars from the 1970s. This model is a reproduction of one of the orginal 652 cars built in 1970. Red color.,4.jpg,31.92,electronics,120,,,101,,
11,1957 Chevy Pickup,"1:12 scale die-cast about 20"" long Hood opens, Rubber wheels",5.jpg,55.7,clothes,130,,,101,,
12,1969 Dodge Charger,Detailed model of the 1969 Dodge Charger. This model includes finely detailed interior and exterior features. Painted in red and white.,6.jpg,58.73,books,140,,,101,,
13,1940 Ford Pickup Truck,"This model features soft rubber tires, working steering, rubber mud guards, authentic Ford logos, detailed undercarriage, opening doors and hood,  removable split rear gate, full size spare mounted in bed, detailed interior with opening glove box",7.jpg,58.33,kids,150,,,102,,
14,1993 Mazda RX-7,"This model features, opening hood, opening doors, detailed engine, rear spoiler, opening trunk, working steering, tinted windows, baked enamel finish. Color red.",9.jpg,83.51,food,160,,,102,,
15,1937 Lincoln Berline,"Features opening engine cover, doors, trunk, and fuel filler cap. Color black",8.jpg,60.62,food,170,,,102,,
16,1936 Mercedes-Benz 500K Special Roadster,"This 1:18 scale replica is constructed of heavy die-cast metal and has all the features of the original: working doors and rumble seat, independent spring suspension, detailed interior, working steering system, and a bifold hood that reveals an engine so accurate that it even includes the wiring. All this is topped off with a baked enamel finish. Color white.",10.jpg,24.26,kids,150,,,102,,
17,1965 Aston Martin DB5,"Die-cast model of the silver 1965 Aston Martin DB5 in silver. This model includes full wire wheels and doors that open with fully detailed passenger compartment. In 1:18 scale, this model measures approximately 10 inches/20 cm long.",1.jpg,65.96,food,130,,,102,,
18,1980s Black Hawk Helicopter,"1:18 scale replica of actual Army's UH-60L BLACK HAWK Helicopter. 100% hand-assembled. Features rotating rotor blades, propeller blades and rubber wheels.",2.jpg,77.27,electronics,110,,,102,,
19,1917 Grand Touring Sedan,"This 1:18 scale replica of the 1917 Grand Touring car has all the features you would expect from museum quality reproductions: all four doors and bi-fold hood opening, detailed engine and instrument panel, chrome-look trim, and tufted upholstery, all topped off with a factory baked-enamel finish.",3.jpg,86.7,clothes,90,,,102,,
20,1948 Porsche 356-A Roadster,"This precision die-cast replica features opening doors, superb detail and craftsmanship, working steering system, opening forward compartment, opening rear trunk with removable spare, 4 wheel independent spring suspension as well as factory baked enamel finish.",4.jpg,53.9,clothes,70,,,103,,
21,1995 Honda Civic,"This model features, opening hood, opening doors, detailed engine, rear spoiler, opening trunk, working steering, tinted windows, baked enamel finish. Color yellow.",5.jpg,93.89,clothes,50,,,103,,
22,1998 Chrysler Plymouth Prowler,Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis.,6.jpg,101.51,food,85,,,103,,
23,1911 Ford Town Car,"Features opening hood, opening doors, opening trunk, wide white wall tires, front door arm rests, working steering system.",7.jpg,33.3,electronics,96,,,103,,
24,1964 Mercedes Tour Bus,"Exact replica. 100+ parts. working steering system, original logos",9.jpg,74.86,clothes,107,,,103,,
25,1932 Model A Ford J-Coupe,"This model features grille-mounted chrome horn, lift-up louvered hood, fold-down rumble seat, working steering system, chrome-covered spare, opening doors, detailed and wired engine",8.jpg,58.48,books,118,,,103,,
26,P-51-D Mustang,Has retractable wheels and comes with a stand,1.jpg,49,food,129,,,104,,
27,1936 Harley Davidson El Knucklehead,"Intricately detailed with chrome accents and trim, official die-struck logos and baked enamel finish.",2.jpg,24.23,food,140,,,104,,
28,1928 Mercedes-Benz SSK,"This 1:18 replica features grille-mounted chrome horn, lift-up louvered hood, fold-down rumble seat, working steering system, chrome-covered spare, opening doors, detailed and wired engine. Color black.",3.jpg,72.56,kids,151,,,104,,
29,1999 Indy 500 Monte Carlo SS,Features include opening and closing doors. Color: Red,4.jpg,56.76,food,162,,,104,,
30,1913 Ford Model T Speedster,"This 250 part reproduction includes moving handbrakes, clutch, throttle and foot pedals, squeezable horn, detailed wired engine, removable water, gas, and oil cans, pivoting monocle windshield, all topped with a baked enamel red finish. Each replica comes with an Owners Title and Certificate of Authenticity. Color red.",5.jpg,60.78,electronics,173,,,104,,
31,1934 Ford V8 Coupe,"Chrome Trim, Chrome Grille, Opening Hood, Opening Doors, Opening Trunk, Detailed Engine, Working Steering System",6.jpg,34.35,clothes,184,,,104,,
32,1999 Yamaha Speed Boat,"Exact replica. Wood and Metal. Many extras including rigging, long boats, pilot house, anchors, etc. Comes with three masts, all square-rigged.",7.jpg,51.61,clothes,195,,,104,,
33,18th Century Vintage Horse Carriage,,9.jpg,60.74,clothes,206,,,104,,
34,1903 Ford Model A,"Features opening trunk,  working steering system",8.jpg,68.3,food,217,,,104,,
35,1992 Ferrari 360 Spider red,"his replica features opening doors, superb detail and craftsmanship, working steering system, opening forward compartment, opening rear trunk with removable spare, 4 wheel independent spring suspension as well as factory baked enamel finish.",10.jpg,77.9,electronics,228,,,104,,
